Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
USC_07_654159_S21_L001_R2_001_val_2				44.46606396950663	23.0	148.02350340089424	18.181818181818183	35523157.0
USC_08_698858_S22_L001_R1_001	2.3558378989797712							
USC_08_698858_S22_L001_R1_001_val_1		27139324.0	85.05826589330877	46.94142295104066	23.0	147.63341299778463	9.090909090909092	31906745.0
USC_08_698858_S22_L001_R2_001	2.3881998752035183							
USC_08_698858_S22_L001_R2_001_val_2				45.93960605982721	23.0	147.78814072071594	18.181818181818183	31906745.0
USC_09_956122_S23_L001_R1_001	2.52749513460637							
USC_09_956122_S23_L001_R1_001_val_1		35483411.0	85.08666471475328	52.799484735067615	23.0	147.7870341395407	27.27272727272727	41702670.0
USC_09_956122_S23_L001_R2_001	2.291286258374288							
USC_09_956122_S23_L001_R2_001_val_2				50.7638076663379	23.0	147.93362453770945	27.27272727272727	41702670.0
USC_10_80403_S24_L001_R1_001	2.2843246760098603							
USC_10_80403_S24_L001_R1_001_val_1		31253969.0	84.77055146127364	47.98480694007551	23.0	147.92650680998096	18.181818181818183	36868899.0
USC_10_80403_S24_L001_R2_001	2.197184773963129							
USC_10_80403_S24_L001_R2_001_val_2				46.317918037147365	23.0	148.07350884006598	9.090909090909092	36868899.0
USC_11_342410_S25_L001_R1_001	2.348361854794422							
USC_11_342410_S25_L001_R1_001_val_1		38264385.0	85.22807836895092	48.7222207239012	23.0	147.72440019427816	9.090909090909092	44896454.0
USC_11_342410_S25_L001_R2_001	2.3250994524042095							
USC_11_342410_S25_L001_R2_001_val_2				46.95347759905643	23.0	147.8805828629584	18.181818181818183	44896454.0
USC_12_9245_S26_L001_R1_001	2.4412601021442732							
USC_12_9245_S26_L001_R1_001_val_1		32935719.0	84.73904584244994	49.09133529556412	23.0	147.93220872524768	18.181818181818183	38867229.0
USC_12_9245_S26_L001_R2_001	2.203335863208769							
USC_12_9245_S26_L001_R2_001_val_2				47.75081586656042	23.0	148.07963055457336	18.181818181818183	38867229.0
USC_13_292035_S1_L002_R1_001	2.577575056544597							
USC_13_292035_S1_L002_R1_001_val_1		14169737.0	83.56748488635996	30.377469583114248	23.0	147.54913048393786	9.090909090909092	16956041.0
USC_13_292035_S1_L002_R2_001	2.4656507058427457							
USC_13_292035_S1_L002_R2_001_val_2				31.719345740902824	23.0	147.67521876126625	18.181818181818183	16956041.0
USC_14_499581_S2_L002_R1_001	2.379491259492638							
USC_14_499581_S2_L002_R1_001_val_1		18027522.0	83.32335133667085	36.00146949686819	23.0	147.65022561407767	18.181818181818183	21635618.0
USC_14_499581_S2_L002_R2_001	2.4234035271674688							
USC_14_499581_S2_L002_R2_001_val_2				37.29927386755377	23.0	147.76046401817595	9.090909090909092	21635618.0
USC_15_569476_S3_L002_R1_001	2.429687712484021							
USC_15_569476_S3_L002_R1_001_val_1		17495849.0	83.54291584005213	35.703869658711625	23.0	147.60937118371965	9.090909090909092	20942349.0
USC_15_569476_S3_L002_R2_001	2.433575654985257							
USC_15_569476_S3_L002_R2_001_val_2				36.87703154466915	23.0	147.72417635672102	9.090909090909092	20942349.0
USC_16_399512_S4_L002_R1_001	2.8881979936521813							
USC_16_399512_S4_L002_R1_001_val_1		17529758.0	83.3435695673577	35.16590587678955	23.0	147.4127028478791	9.090909090909092	21033126.0
USC_16_399512_S4_L002_R2_001	2.5525845977997763							
USC_16_399512_S4_L002_R2_001_val_2				36.488188076979554	23.0	147.54484041031276	18.181818181818183	21033126.0
USC_17_144754_S5_L002_R1_001	2.7702958798057136							
USC_17_144754_S5_L002_R1_001_val_1		25697054.0	83.12291121655885	38.74372593715969	23.0	147.30309460348835	9.090909090909092	30914526.0
USC_17_144754_S5_L002_R2_001	2.660519577683021							
USC_17_144754_S5_L002_R2_001_val_2				39.97913972148468	23.0	147.39270422583868	9.090909090909092	30914526.0
USC_18_468113_S6_L002_R1_001	2.7544587300315744							
USC_18_468113_S6_L002_R1_001_val_1		28440240.0	83.64746455909776	38.21602331195958	23.0	147.59609862576374	9.090909090909092	34000122.0
USC_18_468113_S6_L002_R2_001	2.4446123235972097							
USC_18_468113_S6_L002_R2_001_val_2				39.55726942468871	23.0	147.702784213539	18.181818181818183	34000122.0
USC_19_844800_S7_L002_R1_001	3.0405972248175086							
USC_19_844800_S7_L002_R1_001_val_1		20226572.0	83.76624866450325	34.8148602668186	23.0	147.35080222571884	18.181818181818183	24146446.0
USC_19_844800_S7_L002_R2_001	2.6044823822161014							
USC_19_844800_S7_L002_R2_001_val_2				36.334087508306055	23.0	147.4622691471863	9.090909090909092	24146446.0
USC_20_272703_S8_L002_R1_001	3.8130285338792076							
USC_20_272703_S8_L002_R1_001_val_1		18324761.0	82.74301013379166	33.16942975915872	23.0	147.38884511241162	9.090909090909092	22146597.0
USC_20_272703_S8_L002_R2_001	2.6133425608933867							
USC_20_272703_S8_L002_R2_001_val_2				34.504559826727174	23.0	147.48020727518545	18.181818181818183	22146597.0
USC_21_549053_S9_L002_R1_001	2.588782318005826							
USC_21_549053_S9_L002_R1_001_val_1		23404826.0	82.96353993824674	37.98009302010902	23.0	147.39738781831667	9.090909090909092	28210978.0
USC_21_549053_S9_L002_R2_001	2.6217867997459616							
USC_21_549053_S9_L002_R2_001_val_2				38.96087828497865	23.0	147.48324255188885	9.090909090909092	28210978.0
USC_22_884082_S10_L002_R1_001	2.591868145063853							
USC_22_884082_S10_L002_R1_001_val_1		25521214.0	83.45573088455171	36.14218579706666	23.0	147.3646404751309	18.181818181818183	30580541.0
USC_22_884082_S10_L002_R2_001	2.602324755499132							
USC_22_884082_S10_L002_R2_001_val_2				37.367313933993515	23.0	147.4637285847886	9.090909090909092	30580541.0
USC_23_532825_S11_L002_R1_001	2.6260890421269543							
USC_23_532825_S11_L002_R1_001_val_1		18066002.0	83.49837347811683	34.106227627433825	23.0	147.29194089650602	18.181818181818183	21636352.0
USC_23_532825_S11_L002_R2_001	2.655316007180569							
USC_23_532825_S11_L002_R2_001_val_2				35.472929000543644	23.0	147.39584297759623	9.090909090909092	21636352.0
USC_24_331011_S12_L002_R1_001	2.644433320174359							
USC_24_331011_S12_L002_R1_001_val_1		22467614.0	83.6777689100463	36.83783232005348	23.0	147.2582954909131	9.090909090909092	26850159.0
USC_24_331011_S12_L002_R2_001	2.6759294916028							
USC_24_331011_S12_L002_R2_001_val_2				37.813660676405505	23.0	147.35166182814783	9.090909090909092	26850159.0
